model,train_dataset,corruption,severity,n,accuracy,ece,aurc,sel_acc_70
smolvlm,pathvqa,gaussian_blur,3,2060,0.720874,0.184979,0.115969,0.805132
smolvlm,pathvqa,motion_blur,1,2060,0.793204,0.137300,0.071756,0.892510
smolvlm,pathvqa,motion_blur,2,2060,0.784951,0.147684,0.074031,0.880028
smolvlm,pathvqa,motion_blur,3,2060,0.768932,0.158011,0.085857,0.857143
smolvlm,pathvqa,brightness_shift,1,2060,0.797573,0.140379,0.071826,0.880721
smolvlm,pathvqa,brightness_shift,2,2060,0.781068,0.154126,0.077631,0.873093
smolvlm,pathvqa,brightness_shift,3,2060,0.758738,0.174378,0.090997,0.846741
smolvlm,pathvqa,contrast_shift,1,2060,0.795631,0.144797,0.073977,0.878641
smolvlm,pathvqa,contrast_shift,2,2060,0.780583,0.153210,0.079186,0.869626
smolvlm,pathvqa,contrast_shift,3,2060,0.759709,0.176479,0.091703,0.847434
smolvlm,pathvqa,jpeg_compression,1,2060,0.796602,0.136153,0.067498,0.895978
smolvlm,pathvqa,jpeg_compression,2,2060,0.796602,0.132005,0.068431,0.891123
smolvlm,pathvqa,jpeg_compression,3,2060,0.776699,0.151131,0.078282,0.871706
smolvlm,pathvqa,downscale_upscale,1,2060,0.791748,0.146182,0.073369,0.883495
smolvlm,pathvqa,downscale_upscale,2,2060,0.784951,0.147385,0.073048,0.885576
smolvlm,pathvqa,downscale_upscale,3,2060,0.766505,0.164084,0.086056,0.858530
medgemma,vqa_rad,clean,0,122,0.786885,0.176583,0.156750,0.837209
medgemma,vqa_rad,gaussian_noise,1,122,0.770492,0.187120,0.148838,0.872093
medgemma,vqa_rad,gaussian_noise,2,122,0.778689,0.185194,0.154375,0.848837
medgemma,vqa_rad,gaussian_noise,3,122,0.754098,0.205311,0.166957,0.848837
medgemma,vqa_rad,gaussian_blur,1,122,0.795082,0.172674,0.150833,0.860465
medgemma,vqa_rad,gaussian_blur,2,122,0.803279,0.169294,0.149780,0.848837
medgemma,vqa_rad,gaussian_blur,3,122,0.770492,0.197266,0.175474,0.813953
medgemma,vqa_rad,motion_blur,1,122,0.811475,0.151721,0.153823,0.872093
medgemma,vqa_rad,motion_blur,2,122,0.762295,0.202010,0.159338,0.860465
medgemma,vqa_rad,motion_blur,3,122,0.745902,0.208739,0.179688,0.837209
medgemma,vqa_rad,brightness_shift,1,122,0.803279,0.168861,0.156043,0.848837
medgemma,vqa_rad,brightness_shift,2,122,0.795082,0.175855,0.164680,0.860465
medgemma,vqa_rad,brightness_shift,3,122,0.770492,0.193570,0.173872,0.848837
medgemma,vqa_rad,contrast_shift,1,122,0.795082,0.178526,0.155001,0.837209
medgemma,vqa_rad,contrast_shift,2,122,0.786885,0.197321,0.162636,0.825581
medgemma,vqa_rad,contrast_shift,3,122,0.778689,0.194088,0.178242,0.813953
medgemma,vqa_rad,jpeg_compression,1,122,0.795082,0.174925,0.148754,0.848837
medgemma,vqa_rad,jpeg_compression,2,122,0.786885,0.180738,0.153144,0.837209
medgemma,vqa_rad,jpeg_compression,3,122,0.754098,0.208840,0.162331,0.860465
medgemma,vqa_rad,downscale_upscale,1,122,0.795082,0.178792,0.152651,0.848837
medgemma,vqa_rad,downscale_upscale,2,122,0.803279,0.165799,0.150744,0.860465
medgemma,vqa_rad,downscale_upscale,3,122,0.795082,0.178107,0.152015,0.837209
medgemma,slake_en,clean,0,357,0.871148,0.116011,0.116168,0.944000
medgemma,slake_en,gaussian_noise,1,357,0.868347,0.121916,0.119022,0.944000
medgemma,slake_en,gaussian_noise,2,357,0.859944,0.133529,0.120983,0.936000
medgemma,slake_en,gaussian_noise,3,357,0.865546,0.126064,0.127562,0.916000
medgemma,slake_en,gaussian_blur,1,357,0.859944,0.127523,0.123465,0.924000
medgemma,slake_en,gaussian_blur,2,357,0.848739,0.140140,0.127480,0.924000
medgemma,slake_en,gaussian_blur,3,357,0.848739,0.140072,0.140019,0.908000
medgemma,slake_en,motion_blur,1,357,0.845938,0.145664,0.127036,0.928000
medgemma,slake_en,motion_blur,2,357,0.829132,0.155326,0.130102,0.920000
medgemma,slake_en,motion_blur,3,357,0.820728,0.162323,0.147823,0.924000
medgemma,slake_en,brightness_shift,1,357,0.868347,0.121448,0.115933,0.940000
medgemma,slake_en,brightness_shift,2,357,0.868347,0.121624,0.117338,0.936000
medgemma,slake_en,brightness_shift,3,357,0.865546,0.124168,0.118143,0.940000
medgemma,slake_en,contrast_shift,1,357,0.868347,0.122757,0.116475,0.936000
medgemma,slake_en,contrast_shift,2,357,0.862745,0.124710,0.117289,0.940000
medgemma,slake_en,contrast_shift,3,357,0.865546,0.121325,0.117742,0.936000
medgemma,slake_en,jpeg_compression,1,357,0.871148,0.117845,0.115390,0.940000
medgemma,slake_en,jpeg_compression,2,357,0.857143,0.128031,0.118749,0.932000
medgemma,slake_en,jpeg_compression,3,357,0.851541,0.134031,0.125041,0.920000
medgemma,slake_en,downscale_upscale,1,357,0.865546,0.123535,0.120449,0.936000
medgemma,slake_en,downscale_upscale,2,357,0.865546,0.121668,0.120528,0.932000
medgemma,slake_en,downscale_upscale,3,357,0.854342,0.134147,0.126271,0.924000
medgemma,pathvqa,clean,0,2060,0.546117,0.293188,0.315318,0.511789
medgemma,pathvqa,gaussian_noise,1,2060,0.543204,0.289925,0.313127,0.517337
medgemma,pathvqa,gaussian_noise,2,2060,0.546117,0.299479,0.314668,0.515257
medgemma,pathvqa,gaussian_noise,3,2060,0.544175,0.292384,0.315955,0.508322
medgemma,pathvqa,gaussian_blur,1,2060,0.546117,0.297990,0.314001,0.515950
medgemma,pathvqa,gaussian_blur,2,2060,0.546117,0.295447,0.313119,0.524272
medgemma,pathvqa,gaussian_blur,3,2060,0.543689,0.298443,0.313648,0.518031
medgemma,pathvqa,motion_blur,1,2060,0.545146,0.290037,0.313626,0.514563
medgemma,pathvqa,motion_blur,2,2060,0.545146,0.293601,0.313599,0.515950
medgemma,pathvqa,motion_blur,3,2060,0.545146,0.298401,0.315349,0.509015
medgemma,pathvqa,brightness_shift,1,2060,0.548058,0.295485,0.312987,0.515257
medgemma,pathvqa,brightness_shift,2,2060,0.545146,0.292025,0.312776,0.515950
medgemma,pathvqa,brightness_shift,3,2060,0.546602,0.293658,0.313150,0.515950
medgemma,pathvqa,contrast_shift,1,2060,0.545146,0.295695,0.314259,0.511789
