model,train_dataset,corruption,severity,n,accuracy,ece,aurc,sel_acc_70
llavaov,vqa_rad,brightness_shift,3,122,0.6885245901639344,0.17858348023561355,0.1646417128241776,0.7558139534883721
llavaov,vqa_rad,contrast_shift,1,122,0.639344262295082,0.2311138121906125,0.17750344092951054,0.7558139534883721
llavaov,vqa_rad,contrast_shift,2,122,0.6721311475409836,0.2101921857878051,0.1813000711478255,0.7441860465116279
llavaov,vqa_rad,contrast_shift,3,122,0.6721311475409836,0.22211887101813993,0.18029185999648875,0.7441860465116279
llavaov,vqa_rad,jpeg_compression,1,122,0.680327868852459,0.19713189618164478,0.1765821343760499,0.7558139534883721
llavaov,vqa_rad,jpeg_compression,2,122,0.7213114754098361,0.20635627752785107,0.16038599313005228,0.7790697674418605
llavaov,vqa_rad,jpeg_compression,3,122,0.680327868852459,0.2426746283819414,0.18420630979960334,0.7209302325581395
llavaov,vqa_rad,downscale_upscale,1,122,0.6475409836065574,0.22412164619564162,0.17370239248261402,0.7558139534883721
llavaov,vqa_rad,downscale_upscale,2,122,0.680327868852459,0.2226900578075428,0.15811333912266923,0.7441860465116279
llavaov,vqa_rad,downscale_upscale,3,122,0.6967213114754098,0.1751070992003177,0.14694360830255232,0.7441860465116279
llavaov,slake_en,clean,0,357,0.7366946778711485,0.19844547088247916,0.3830193791042957,0.732
llavaov,slake_en,gaussian_noise,1,357,0.7142857142857143,0.2187762670622335,0.3888784309002513,0.732
llavaov,slake_en,gaussian_noise,2,357,0.7226890756302521,0.20923408227175488,0.38848969118985094,0.728
llavaov,slake_en,gaussian_noise,3,357,0.6890756302521008,0.2311186062125732,0.37999570377439756,0.72
llavaov,slake_en,gaussian_blur,1,357,0.7254901960784313,0.20481073487049806,0.37016147185955073,0.728
llavaov,slake_en,gaussian_blur,2,357,0.7310924369747899,0.22208211664596278,0.36837540752338,0.712
llavaov,slake_en,gaussian_blur,3,357,0.7086834733893558,0.21125319782475088,0.3730527662490464,0.732
llavaov,slake_en,motion_blur,1,357,0.7338935574229691,0.21543417514848254,0.37850470782095447,0.732
llavaov,slake_en,motion_blur,2,357,0.742296918767507,0.1891600069860032,0.36538470563206404,0.748
llavaov,slake_en,motion_blur,3,357,0.7170868347338936,0.1921022010562199,0.38248670864527046,0.744
llavaov,slake_en,brightness_shift,1,357,0.7394957983193278,0.1921417335812886,0.3834167611318576,0.74
llavaov,slake_en,brightness_shift,2,357,0.7310924369747899,0.20410559927185712,0.38927073938515855,0.72
llavaov,slake_en,brightness_shift,3,357,0.7338935574229691,0.21598546857833745,0.392969050800881,0.716
llavaov,slake_en,contrast_shift,1,357,0.7450980392156863,0.1956524496468864,0.377979409555013,0.74
llavaov,slake_en,contrast_shift,2,357,0.742296918767507,0.20557536085728087,0.3767488273470063,0.736
llavaov,slake_en,contrast_shift,3,357,0.7478991596638656,0.21334690474959647,0.3724837421386095,0.72
llavaov,slake_en,jpeg_compression,1,357,0.7338935574229691,0.19961004802037488,0.3749318855378251,0.728
llavaov,slake_en,jpeg_compression,2,357,0.7366946778711485,0.20365605612267848,0.3778091848999458,0.728
llavaov,slake_en,jpeg_compression,3,357,0.7310924369747899,0.21035921765485777,0.3781915320831197,0.74
llavaov,slake_en,downscale_upscale,1,357,0.7310924369747899,0.2131772807867558,0.3777966033167988,0.724
llavaov,slake_en,downscale_upscale,2,357,0.7310924369747899,0.2270967907837282,0.37828227119270263,0.72
llavaov,slake_en,downscale_upscale,3,357,0.7198879551820728,0.2074909246734948,0.3584658409342476,0.72
llavaov,pathvqa,clean,0,2060,0.7548543689320388,0.0687813213188101,0.16708093731502638,0.8085991678224688
llavaov,pathvqa,gaussian_noise,1,2060,0.7631067961165049,0.08233925633079255,0.16581150794079172,0.8079056865464632
llavaov,pathvqa,gaussian_noise,2,2060,0.7533980582524272,0.07204390467757515,0.16730048970909644,0.8099861303744799
llavaov,pathvqa,gaussian_noise,3,2060,0.7359223300970874,0.06632768490792809,0.17719846058943972,0.7954230235783634
llavaov,pathvqa,gaussian_blur,1,2060,0.7572815533980582,0.0739749607509152,0.17011625655718038,0.8072122052704577
llavaov,pathvqa,gaussian_blur,2,2060,0.7475728155339806,0.06818062686555693,0.16860530539442456,0.811373092926491
llavaov,pathvqa,gaussian_blur,3,2060,0.7203883495145631,0.06490652543744481,0.18691638843071504,0.7815533980582524
llavaov,pathvqa,motion_blur,1,2060,0.7490291262135922,0.06564072279189027,0.17249427974605094,0.8009708737864077
llavaov,pathvqa,motion_blur,2,2060,0.7441747572815534,0.06526333730892606,0.17414023606679388,0.7933425797503467
llavaov,pathvqa,motion_blur,3,2060,0.7257281553398058,0.05553633335606167,0.1813459703917037,0.7808599167822469
llavaov,pathvqa,brightness_shift,1,2060,0.7577669902912622,0.07197269258617911,0.1646806520610809,0.8148404993065187
llavaov,pathvqa,brightness_shift,2,2060,0.7577669902912622,0.06954102812093153,0.1635400664923625,0.8106796116504854
llavaov,pathvqa,brightness_shift,3,2060,0.762621359223301,0.07727490235061674,0.16497214551664852,0.8085991678224688
llavaov,pathvqa,contrast_shift,1,2060,0.7577669902912622,0.06724574748527375,0.1646477045648344,0.8134535367545076
llavaov,pathvqa,contrast_shift,2,2060,0.7524271844660194,0.060533044378793116,0.1656953816511365,0.8092926490984743
llavaov,pathvqa,contrast_shift,3,2060,0.7451456310679612,0.06660736071316811,0.1732360102931529,0.8072122052704577
llavaov,pathvqa,jpeg_compression,1,2060,0.7514563106796116,0.06856859275143855,0.1761446684596841,0.7981969486823856
llavaov,pathvqa,jpeg_compression,2,2060,0.7495145631067961,0.06663071589435321,0.1757600511178705,0.7961165048543689
