model,condition,modality,n,accuracy,ece,ece_ci_lo,ece_ci_hi,brier,nll,aurc,aurc_ci_lo,aurc_ci_hi,e_aurc
qwen25vl,zero_shot,OCT (Optical Coherence Tomography,200,0.555,0.10761502288307392,0.08270416038521401,0.18110494627685686,0.6216673912663695,1.345131830032697,0.24583609647830662,0.1851240408707824,0.3146389083009963,0.12650307066030075
qwen25vl,zero_shot,X-Ray,200,0.345,0.34696571492044925,0.301297035383004,0.43750287941166854,0.9764731122896532,3.4821408068056803,0.7364411517215598,0.6616384399440081,0.803858539874121,0.4469617188668948
qwen25vl,zero_shot,ultrasound,200,0.055,0.7261823703749953,0.6822231092658985,0.7671109871206361,1.5604598592122503,8.70194137317667,0.9468086213155874,0.9073059496688234,0.9808166353141164,0.15900706949401278
smolvlm,ft_vqa_rad,CT(Computed Tomography),200,0.275,0.46853828196237834,0.4118071006504875,0.5410404296787328,1.1362246974138324,3.0446940692080897,0.7615557962418723,0.6800439854722292,0.835905290044901,0.3897709486955954
smolvlm,ft_vqa_rad,Dermoscopy,200,0.49,0.1982691070535709,0.14108530443360343,0.2697632726984154,0.6711723263879107,1.5306811096343909,0.3488525960892547,0.2676197983143749,0.43991578493438266,0.18712227197484346
smolvlm,ft_vqa_rad,Fundus Photography,200,0.515,0.09425208503151498,0.07903420133552297,0.1821852152048515,0.6290673554308218,1.107380500002697,0.44505627852151397,0.35017352222520215,0.5378002522140075,0.3005947657108202
smolvlm,ft_vqa_rad,MR (Mag-netic Resonance Imaging),200,0.45,0.19810359012805942,0.1638408450190512,0.27024104360189466,0.7244791771181585,1.5316006146862537,0.4357926890475584,0.33625894619459706,0.5317199828966649,0.24374984442037645
smolvlm,ft_vqa_rad,Microscopy Images,200,0.38,0.22493582217743588,0.1783906630729593,0.30231735380555247,0.8241813086260796,2.3667205635004898,0.588533779063922,0.49081947038195994,0.67752453651374,0.3346703997399129
smolvlm,ft_vqa_rad,OCT (Optical Coherence Tomography,200,0.57,0.09963902547551105,0.08105301222646458,0.16912232898715365,0.5291826274959984,1.0099028102329586,0.19301055553329813,0.13976076616118382,0.2590618392444933,0.0823458063264228
smolvlm,ft_vqa_rad,X-Ray,200,0.435,0.20988820768210958,0.16974724089317342,0.2888077905678329,0.7613848873226443,1.7153327780742635,0.502155687361157,0.4101457285641757,0.6012614619042429,0.2978450931558344
smolvlm,ft_vqa_rad,ultrasound,200,0.07,0.6935996816913029,0.6481134044915395,0.7392998515989843,1.5347094984302394,8.407291969345481,0.9647979972298556,0.9360872581625737,0.9870133058468417,0.2186508007389939
smolvlm,zero_shot,CT(Computed Tomography),200,0.27,0.49473496869413863,0.4402319775692156,0.5663439510993118,1.185705433584209,3.5908249821178777,0.7633543650835768,0.6777884345743587,0.8366282595456983,0.385056514765414
smolvlm,zero_shot,Dermoscopy,200,0.455,0.2797759276820786,0.2201696626659393,0.34660111413272243,0.7201402776399166,1.696620929537894,0.36183888498883937,0.27895497065159636,0.4556465172709244,0.17377334208802203
smolvlm,zero_shot,Fundus Photography,200,0.53,0.11366018999839425,0.08814278704580122,0.19360352583990753,0.6471854625827461,1.2021832126346006,0.42805171823169524,0.3324731889545859,0.5191157303928737,0.2933650292414802
smolvlm,zero_shot,MR (Mag-netic Resonance Imaging),200,0.415,0.24676096758903365,0.2021513910306587,0.3148273886815995,0.7703663839979512,1.7447699837458601,0.4633661677516848,0.360129689047273,0.5583579828948437,0.24189067805981534
smolvlm,zero_shot,Microscopy Images,200,0.385,0.24688523359746584,0.1885774621468826,0.3236936234546088,0.850020510047099,2.7099635366793753,0.5926416387758476,0.4986838962768276,0.6867466090114536,0.3435958465659963
smolvlm,zero_shot,OCT (Optical Coherence Tomography,200,0.535,0.0975922794738508,0.08699509516785552,0.16981243080879796,0.5541829102715041,1.0654721969183658,0.21308650635641907,0.15932371671437964,0.27813361754376736,0.08156315048893786
smolvlm,zero_shot,X-Ray,200,0.415,0.27240494127254444,0.22622444037073958,0.3546020260160621,0.8431914803410858,2.3027030400847655,0.6067032624336208,0.5182116519433168,0.6961779524224675,0.38522777274175135
smolvlm,zero_shot,ultrasound,200,0.015,0.7732499628278793,0.7429644623996823,0.8036569161782425,1.6601565188620326,11.910744286169084,0.9926404877862095,0.9829535711042104,1.0,0.06831095200803106
